Sector,Track,Job Role,Job Role Description,Performance Expectation
Accountancy,Financial Forensics,Financial Forensics Director / Financial Forensics Partner,"The Financial Forensics Director/Financial Forensics Partner provides the overall direction for the financial forensics team, identifying opportunities for growth and further collaborations. He/She approves reports and recommendations developed by the team, manages overall investigation and provides expert testimonies as an expert witness in arbitrations, mediations, dispute resolutions and expert determinations. He also establishes strategic business partnerships with stakeholders and partners with stakeholders to identify litigation requirements. He may work with regulatory bodies such as the Monetary Authority of Singapore, Singapore Exchange and Commercial Affairs Department of the Singapore Police Force. The Financial Forensics Director/Financial Forensics Partner may manage the internal team or a team of forensic consultants who provide forensic services to external clients. He should be highly experienced in the areas of assurance and risk management, and acts as the approving authority for reports and recommendations. He communicates effectively with potential clients and stakeholders who may require forensic services. He applies the principles of the Code of Professional Conduct and Ethics in all his tasks.",
Accountancy,Financial Forensics,Financial Forensics Manager,"The Financial Forensics Manager guides his/her financial forensics team in delivering forensic investigation, prevention and detection activities, reviewing and communicating the results and recommendations to clients and stakeholders. The Financial Forensics Manager reviews findings from fraud risk identification exercises and fraud investigations and recommendations to improve prevention and detection of fraud schemes. He critiques other expert reports and provides advice on settlements for litigation purposes. He also engages in business development opportunities, developing proposals for clients if in an external consultant role. He conducts fraud awareness and fraud prevention training for both internal and external parties. The Financial Forensics Manager may manage the internal team or a team of forensic consultants who provide forensic services to external clients. He should be results-oriented in his work and is able to deliver reports and findings needed for different client groups. He is able to communicate with senior management and stakeholders on sensitive issues. He applies the principles of the Code of Professional Conduct and Ethics in all his tasks.",
Accountancy,Financial Forensics,Financial Forensics Senior / Financial Forensics Senior Executive,"The Financial Forensics Senior/Financial Forensics Senior Executive leads his/her financial forensics team in delivering forensic investigation, prevention and detection activities, reporting directly to his reporting officer for clearance and review. The Financial Forensics Senior/Financial Forensics Senior Executive leads fraud risk identification exercises, harnessing technology in data analyses and monitoring activities. He develops the fraud risk management frameworks and provides recommendations to improve prevention and detection of fraud schemes. He partners with audit, legal, risk and compliance teams to provide data and information needed to conduct investigations, and detection and prevention activities. He supports in developing materials for litigation purposes. The Financial Forensics Senior/Financial Forensics Senior Executive may work as an internal forensic specialist or as an external consultant providing consultancy services to other organisations, where he may be based in clients' office. He should be meticulous in his work, which involves identifying discrepancies and risks using technology. He possesses the ability to think strategically, managing the various stakeholders involved while working toward the end goal. He applies the principles of the Code of Professional Conduct and Ethics in all his tasks.",
Accountancy,Internal Audit,Chief Audit Executive / Head of Internal Audit,"The Chief Audit Executive/Head of Internal Audit steers the organisation to achieve good corporate governance. He/She manages the resources, policies and procedures of the internal audit function to ensure completion of audit plans. The Chief Audit Executive/Head of Internal Audit facilitates the use of new and emerging technologies to identify and evaluate implications of process design gaps and recommendations on organisation's strategic objectives. He also influences internal controls for the organisation and promotes the adoption of governance frameworks. As the Internal Audit leader, he ensures audit activities are completed in accordance with the International Professional Practices Framework (IPPF) and contributes towards professional standards development. The Chief Audit Executive/Head of Internal Audit is an innovative and transformational leader. He exercises due professional care in his work and manages the team to apply and conform to these standards.",
Accountancy,Internal Audit,Internal Audit Assistant Manager,"The Internal Audit Assistant Manager is responsible for developing audit procedures and programmes based on internal audit engagement objectives and scope. He/She is involved in supervising internal audit engagements. The Internal Audit Assistant Manager analyses implications of significant changes and infocomm technology (IT) developments to the organisation, business units and key processes. He also guides the team to uphold professional standards and ensure internal audit engagements are executed in accordance with the International Professional Practices Framework (IPPF). He supports the business by applying data analytics and business intelligence tools to analyse data to interpret findings for business insights. The Internal Audit Assistant Manager is scrupulous and accountable. He exercises due professional care in his work.",
Accountancy,Internal Audit,Internal Audit Senior Manager / Internal Audit Manager,"The Internal Audit Senior Manager/Internal Audit Manager determines objectives and scope of internal audit engagements based on risk assessments, staff and other resources. He/She supervises internal audit activities with the use of new and emerging technological tools to achieve intended objectives. The Internal Audit Senior Manager/Internal Audit Manager evaluates potential impact of changes and infocomm technology (IT) developments on business, and reviews business insights to focus on value-added opportunities or high-risk areas. He also identifies opportunities to leverage data analytics and business intelligence tools and methods to obtain business insights for enhancing organisational value. The Internal Audit Senior Manager/Internal Audit Manager is efficient and objective in executing his tasks and is a trustworthy leader in the organisation. He exercises due professional care in his work and manages the team to apply and conform to these standards.",
Accountancy,Internal Audit,Senior Internal Auditor / Internal Auditor,"The Senior Internal Auditor/Internal Auditor executes internal audit engagements in accordance with audit procedures and applicable frameworks on governance, risk management and control. He/She supports the team in providing advice and business insights to the organisation by identifying opportunities and making recommendations for change. The Senior Internal Auditor/Internal Auditor documents organisation's internal controls and business processes, and makes recommendations for changes to the organisation's internal controls and business processes. He should remain updated on professional competence standards. The Senior Internal Auditor/Internal Auditor is meticulous and dependable in executing his work. He exercises due professional care in his work.",
Accountancy,Management Accounting,Accounting Executive,"The Accounting Executive supports the finance department in carrying out the responsibilities of the accounting department. He/She is involved work that is specific to preliminary cost analysis, profit and loss analysis, balance sheet analysis and reconciliations, and report preparation. He is expected to assist in the budgeting and forecasting process. The Accounting Executive is required to have a basic understanding of the business structures, operations and financial performance. He may be called on to participate in ad-hoc finance-related projects and systems testing when necessary. He is meticulous and has good time management skills.",
Accountancy,Management Accounting,Business Controller / Finance Director,"The Business Controller/Finance Director is the business partner for all the business units in an organisation. He/She serves as the organisations go-to person for all matters related to accounting. He provides technical accounting advice to various stakeholders to maximise organisation's value and minimise risks in accordance with external and internal accounting guidance. The Business Controller/Finance Director demonstrates excellent people skills to facilitate the on-going business relationships and find new business opportunities. He also play a critical role in financial planning and analysis supporting key management decisions which includes involvement in providing operational risk management support to the business and ensuring proper business performance management through profitability and operational analysis. In addition, he is involved in recruitment, performance management, appraisal and identifying training and development needs for the business units in an organisation.",
Accountancy,Management Accounting,Financial Planning and Analysis Manager,"The Financial Planning and Analysis (FP&A) Manager is involved in most, if not all, aspects of accounting and oversees the day-to-day activities of the accounting team. He/She ensures that the organisation's finance function is well organised as well as produces timely and accurate management accounts, thus achieving compliance with corporate policies and statutory requirements. He also analyses data and understands the financial performance and position of the organisation in order to perform variance analysis and identifies key causes of business variances for performance measurement. The FP&A Manager directs staff responsible for developing and modifying the management accounting system. He develops product costing techniques, institutes cost control measures, insures timely and accurate labour, material, and overhead reports, supervises the undertaking of special cost studies and periodically reviews allocation of overhead costs.",
Accountancy,Management Accounting,Management Accountant / Financial Planning and Analysis Analyst / Business Analyst,"The Management Accountant/Financial Planning and Analysis Analyst/Business Analyst is typically responsible for a segment of the overall management accounting system. He/She also identifies trends and opportunities for improvement, analyse and manage risk, arrange the funding and financing of operations and monitor and enforce compliance. He maintains an organisation's financial system. The Management Accountant/Financial Planning and Analysis Analyst/Business Analyst's job function can include analysing financial statements and making forecasts, budgets, performance measurements and plans, and present them to senior management to assist in operational decision making. He may be called on to guide junior or less experienced colleagues who handle an organisation's basic accounting tasks and to participate in ad-hoc finance-related projects and systems testing when necessary.",
Accountancy,Mergers and Acquisitions,Mergers and Acquisitions Associate / Mergers and Acquisitions Executive,"The Mergers and Acquisitions Associate/Mergers and Acquisitions Executive is responsible for execution of deliverables. He/She needs to work hands-on during the initial research phase, which includes financial statement reviews and analyses, and participates in business development and stakeholder interaction. He is expected to adhere to standards of ethics and maintain quality assurance in processes. He must be flexible in handling a wide range of duties throughout the mergers and acquisitions process. He may work as a generalist or specialise in areas such as infrastructure advisory or project finance. The Mergers and Acquisitions Associate/Mergers and Acquisitions Executive would typically have had prior exposure to other accounting and advisory functions. He is diligent in scouring through documents while researching. He possesses strong time management and communication skills. He is also detail-oriented and ensures his work is error-free.",
Accountancy,Mergers and Acquisitions,Mergers and Acquisitions Manager,"The Mergers and Acquisitions Manager is the second in-charge of various functions including managing transaction activities, generating and supporting the business, quality control, providing technical leadership as well as managing resources for the team. He/She is a technical expert in mergers and acquisitions. He should possess considerable experience in mergers and acquisitions, client, stakeholder and business management, project management and team development. He oversees the process, which includes sourcing, financial modelling and evaluation of transaction opportunities. He may work in an internal role within an organisation or in an advisory role in a professional services firm. He may also be a generalist or specialist in areas such as infrastructure advisory or project finance. In order to perform his duties effectively, he needs to be reliable when providing professional advice. He maintains a global perspective in his work and is able to see the big picture underlying a mergers and acquisitions event. He is commercially-driven, and confident in his ability to present and communicate with stakeholders. He also possesses strong negotiation skills.",
Accountancy,Mergers and Acquisitions,Mergers and Acquisitions Partner / Mergers and Acquisitions Director,"The Mergers and Acquisitions Partner/Mergers and Acquisitions Director is a team leader in charge of various functions including generating and growing the business, quality control, providing technical leadership as well as sourcing appropriate staff for the team. He/She is given the signing authority for any client deliverables in a consultancy role, or responsibility for corporate development in-house. He/She is responsible for the quality of technical output, and risk management for the business. The Mergers and Acquisitions Partner/Mergers and Acquisitions Director is an expert in mergers and acquisitions and should possess considerable transaction experience. He has strong commercial acumen and strong quantitative skills. He is responsible for marketing and business development, client and stakeholder relationship management, and making decisions on engagements and client acceptance. He may work in an internal role within an organisation or in an advisory role in a professional services firm. He may also be a generalist or specialist in areas such as infrastructure advisory or project finance. In order to perform his duties effectively, he needs to stay up-to-date with current events and be well-connected with key executives within his sector. He maintains a global perspective and leverages his cross-border knowledge to help drive successful project outcomes. He manages multiple projects simultaneously and is able to lead teams effectively.",
Accountancy,Mergers and Acquisitions,Mergers and Acquisitions Senior / Mergers and Acquisitions Senior Executive,"The Mergers and Acquisitions Senior/Mergers and Acquisitions Senior Executive is in charge of day-to-day operations, from a transaction perspective. He/She manages mergers and acquisitions processes for the client engagements that he is responsible for, or the business that he belongs to. He is expected to adhere to standards of ethics and maintain quality assurance in processes. He participates in business development and interacts with stakeholders to manage project deliverables and timeline. He may work in an internal role within an organisation or in an advisory role in a professional services firm. He may also be a generalist or specialist in areas such as infrastructure advisory or project finance. Due to the uncertain and fast-pace nature of the work, he needs to be flexible and well-organised. He possesses strong time management and communication skills. He is able to maintain client confidentiality and handles sensitive information with discretion.",
Accountancy,Restructuring and Insolvency,Restructuring and Insolvency Associate / Restructuring and Insolvency Executive,"The Restructuring and Insolvency Associate/Restructuring and Insolvency Executive conducts initial market research and financial analyses. He/She participates in business development and stakeholder interactions. He is expected to adhere to standards of ethics and maintain quality assurance in processes. He is diligent in researching and is able to synthesise information to develop relevant insights. He possesses strong time management and communication skills. The Restructuring and Insolvency Associate/Restructuring and Insolvency Executive would typically have had prior exposure to other accounting and advisory functions, and is expected to embark on a steep learning curve to acquire various skills and expertise in restructuring and insolvency.",
Accountancy,Restructuring and Insolvency,Restructuring and Insolvency Manager,"The Restructuring and Insolvency Manager is second in-charge of various functions including managing the restructuring and insolvency processes, generating and supporting the business, ensuring quality control, providing technical leadership as well as sourcing for appropriate staff for the team. He/She is a technical expert in restructuring and insolvency. He should possess considerable amount of experience in restructuring and insolvency, client, stakeholder and business management, project management and team development. He needs to be able to identify potential risks and know when it is necessary to escalate issues. He also needs to be detailed oriented. He needs to uphold the ethical standards when exerting professional judgments.",
Accountancy,Restructuring and Insolvency,Restructuring and Insolvency Partner / Restructuring and Insolvency Director,"The Restructuring and Insolvency Partner/Restructuring and Insolvency Director is a leader in charge of various functions including generating business and growth, quality control, technical leadership as well as ensuring the team possess necessary soft and technical skills. He/She is responsible for the quality of technical output, and risk management for the business. He is also looked upon as an expert in restructuring and insolvency. He is responsible for validating recommendations and proposing alternative solutions where applicable. He helps to ensure that restructuring and insolvency proceedings are aligned with strategic objectives. He is responsible for stakeholder relationship management. The Restructuring and Insolvency Partner/Restructuring and Insolvency Director needs to be a good listener and sensitive to his clients issues to help his clients through the process. He possesses persuasion skills and excels in people management. If appointed, he will need to act as a judicial manager or trustee, which requires him to be a license holder with a requisite Certified Public Accountant (CPA) accreditation.",
Accountancy,Restructuring and Insolvency,Restructuring and Insolvency Senior / Restructuring and Insolvency Senior Executive,"The Restructuring and Insolvency Senior/Restructuring and Insolvency Senior Executive is in charge of day-to-day operations, from a restructuring and insolvency perspective. He/She manages the restructuring and insolvency processes for the client engagements that he is responsible for, or the business that he belongs to. He is expected to adhere to standards of ethics and maintain quality assurance in processes. He participates in business development and is expected to interact with stakeholders to manage project deliverables and timelines. He has a significant level of technical expertise and is very hands-on with the restructuring and insolvency processes. He must be able to work in a fast-paced environment. He needs to have strong project management skills and be efficient in his work to manage multiple deadlines. He is able to interpret data and communicate the insights derived to his team members.",
Accountancy,Sustainability Reporting and Assurance,Chief Sustainability Officer / Sustainability Head / Lead / Sustainability Director,"The Chief Sustainability Officer / Sustainability Head / Lead / Sustainability Director oversees the development and execution of the organisation’s sustainability strategy, aligning it with business goals, industry trends and stakeholder expectations. He/She drives the implementation of sustainability initiatives across the organisation’s operations, supply chain and portfolio. He leads efforts to improve Environment, Social and Governance (ESG) performance, defining sustainability targets, policies and governance structures, and tracking progress against goals.

The Chief Sustainability Officer / Sustainability Head / Lead / Sustainability Director requires strong leadership and strategic planning skills, as well as financial acumen. With industry-leading knowledge of sustainability trends, innovations and risks, he influences internal and external stakeholders as a spokesperson for sustainability efforts.",
